name	menu	course	preptime	calories	price	allergens	description																																																								
Bacon Cheeseburger Quesadillas	burger	entree	45	305	55000	cheese	This recipe makes 4 large quesadillas which can be cut into 16 or 32 wedges for parties.																																																								
Insanity Burger	burger	entree	30	537	55000	"egg,mustard"	"Competition for the best burger in London has gone mad. Some burgers are gourmet and piled high with toppings, whereas others are thinner, simpler, wrapped in paper, steamy and sloppy. All I can say is my insanity burger is going to be right up there—the method is almost ritualistic in what it requires you to do to get close to burger perfection. I've also used the brilliant technique of brushing the burgers with mustard and a dash of Tabasco Chipotle sauce as they cook to build up an incredible gnarly layer of seasoning."																																																								
Black Burger	burger	entree	100	500	60000	"egg,mustard,activated charcoal"	"Black hamburgers have become a trend in Japan, where both McDonald’s and Burger King released burgers featuring black buns earlier this year. The King’s take even offered black cheese. Meanwhile, Americans have watched in awe, wondering when—and possibly dreading the day—these crazy black concoctions will arrive in the States."																																																								
Chipotle mac and cheese beef burger	burger	entree	35	600	50000	"milk,beef"	"chipotle mac and cheese beef burger brings out layers of texture and flavor that come together perfectly,Made with a 100% fresh beef ¼ lb. patty, cooked right when you order and served on an artisan roll."																																																								
Egg Burger	burger	entree	30	400	33000	egg	"The egg burger is a simple twist on the classic beef burger, substituting the beef patty for an egg. Like any burger, dress it up or down with your own personal combination of toppings and condiments."																																																								
Double Quarter Pounder with Cheese	burger	entree	30	679	33000	cheese	"Each Double Quarter Pounder with Cheese features two quarter pound 100% fresh beef patties that are hot, deliciously juicy and cooked when you order. They’re seasoned with just a pinch of salt and pepper, sizzled on a flat iron grill, then topped with slivered onions, tangy pickles and two slices of melty cheese on a sesame seed bun. It contains no artificial flavors, preservatives or added colors from artificial sources. Our pickle contains an artificial preservative, so skip it if you like."																																																								
Bacon Smokehouse Burger	burger	entree	30	700	45000		"A hearty double burger made with unexpected flavor combinations, including crispy Applewood smoked bacon, smoky bacon-onion sauce, two slices of real white cheddar, mild sweet mustard sauce and in-house fried onion strings. Stacked with two 100% fresh beef 1/4 lb. patties that are hotter, juicier and cooked when you order. Served on an artisan roll."																																																								
Big Mac	burger	entree	30	1000	50000		"Mouthwatering perfection starts with two 100% pure beef patties and Big Mac sauce sandwiched between a sesame seed bun. It’s topped off with pickles, crisp lettuce, onions and American cheese for a 100% beef burger with a taste like no other. It contains no artificial flavors, preservatives or added colors from artificial sources. Our pickle contains an artificial preservative, so skip it if you like."																																																								
Mushroom and Swiss Burger	burger	entree	30	800	50000		"Our Mushroom and Swiss Burger brings out layers of texture and flavor that come together perfectly, with seasoned mushrooms, creamy bistro aioli, Swiss cheese and crispy onion strings. Made with a 100% fresh beef ¼ lb. patty, cooked right when you order and served on an artisan roll."																																																								
Chicken Kung Pao	chicken	entree	60	450	80000		"This is a specialty dish of Sichuan Province, China.The delicious chicken is harmonious both sweet and spicy aroma, stimulating the taste, giving impression to those who have been enjoying. Chicken Kung Pao is very popular in Chinese restaurants in the US and Europe. Today, in addition to chicken, many other Kung Pao dishes are created with other meats such as pork, beef"	peanut																																																							
