name	menu	course	preptime	calories	price	allergens	description																																																								
Double Quarter Pounder with Cheese	burger	entree	30	679	33000	cheese	"Each Double Quarter Pounder with Cheese features two quarter pound 100% fresh beef patties that are hot, deliciously juicy and cooked when you order. They’re seasoned with just a pinch of salt and pepper, sizzled on a flat iron grill, then topped with slivered onions, tangy pickles and two slices of melty cheese on a sesame seed bun. It contains no artificial flavors, preservatives or added colors from artificial sources. Our pickle contains an artificial preservative, so skip it if you like."																																																								
Bacon Smokehouse Burger	burger	entree	30	700	45000		"A hearty double burger made with unexpected flavor combinations, including crispy Applewood smoked bacon, smoky bacon-onion sauce, two slices of real white cheddar, mild sweet mustard sauce and in-house fried onion strings. Stacked with two 100% fresh beef 1/4 lb. patties that are hotter, juicier and cooked when you order. Served on an artisan roll."																																																								
Big Mac	burger	entree	30	1000	50000		"Mouthwatering perfection starts with two 100% pure beef patties and Big Mac sauce sandwiched between a sesame seed bun. It’s topped off with pickles, crisp lettuce, onions and American cheese for a 100% beef burger with a taste like no other. It contains no artificial flavors, preservatives or added colors from artificial sources. Our pickle contains an artificial preservative, so skip it if you like."																																																								
Mushroom and Swiss Burger	burger	entree	30	800	50000		"Our Mushroom and Swiss Burger brings out layers of texture and flavor that come together perfectly, with seasoned mushrooms, creamy bistro aioli, Swiss cheese and crispy onion strings. Made with a 100% fresh beef ¼ lb. patty, cooked right when you order and served on an artisan roll."																																																								
Buttermilk Crispy Tenders	chicken	entree	60	550	55000		"Buttermilk Crispy Tenders are battered, breaded to perfection, and made with all white-meat chicken, with no artificial preservatives, colors or flavors. Perfect for dipping with our sweet and tangy Signature Sauce."																																																								
Sweet N Spicy Honey BBQ Glazed Tenders	chicken	entree	40	890	40000	cheese	"For our new Sweet N‘ Spicy Honey BBQ Glazed Tenders, we put a twist on classic Honey BBQ for a glaze that’s sweet, with just a hint of spice. Our tenders are made with all white meat chicken, hand-tossed and glazed to order so every bite packs bold flavor. Perfect for sharing—or keeping for yourself."																																																							
Cheese Chicken	chicken	entree	100	700	42000	cheese	Chicken cheese is a trend in community fever in recent days. Soft chicken blended with the characteristic sauce of each restaurant is coated on fatty cheese. Discover the restaurant with chicken cheese delicious received the praise of many people nhé!																																																								
Side Salad	salads	appetizer	10	70	30000		"Freshly prepared side salad with crisp chopped romaine, baby spinach, baby kale, red leaf lettuce, ribbon cut carrots, tasty grape tomatoes and served with your choice of Newman's Own Dressing."																																																								
Southwest Buttermilk Crispy Chicken Salad	salads	appetizer	10	50	48000		"Buttermilk crispy chicken salad made with all white meat chicken filet and no added colors. A Southwest salad layered with savory black beans, roasted corn and tomatoes, and poblano peppers. Sprinkled with cheddar and jack cheeses, chili-lime tortilla strips and cilantro. All atop crisp chopped romaine, baby spinach, baby kale, red leaf lettuce and ribbon cut carrots. Plus, a fresh lime wedge and Newman's Own Southwest Dressing."																																																								
World Famous Fries	snacks	dessert	30	150	40000		"Our French fries are born from premium potatoes such as the Russet Burbank and the Shepody. With 0g of trans fat per labeled serving, these epic fries are crispy and golden on the outside and fluffy on the inside."																																																								
